2e3da8fbc1eaca8ed9b7c2db9e6545d8ccac3c67deadee95db050e41c1eedfc0,452,1620,
79c51c9d4124c5cbb37a85263748dcf44e182dff83561fa3087f0e9e43f41c33,682,1136,6eb38fad135e38a93cb47a15a5f953cbc0563fd84bf1abdec578c2af302e10bf
b0ef627c8dc2a706475d33d7712209ec779f7a8302aaeab86c64cf00316a3df8,226,900,
8c25f9be93990b96e8bc363778d6debee6867c7d73cefab69405d41e677b536c,258,1032,
edc82751537be6afcb21c0229d8d20916d8e742a363ab235b5556c5fa698cf4f,452,1616,
384718a612cc6b220a8eeaf36f9d179e70fe233e2e906878a9c9d855292bd534,452,1616,edc82751537be6afcb21c0229d8d20916d8e742a363ab235b5556c5fa698cf4f
d506243d15088e94cf5300c55c67889d61f798750f6c59b9ec6237fa1cfb9bf9,285,1132,
857909bcca1f5e76d2eb78d60ecf14d6d6dcfd3691c95094f4ae6322f27d0faa,285,1132,
e50935ba818134e052de9e65398faa5a28fde36a88536705f2540d86eef5f49e,285,1136,
8ce84562ac4aab9c1ec15ac0c76cf0ef5ae5f9a945d717eb6c35e03e59be4657,285,1136,
c1ae3a82e52066b670e43116e7bfbcb6fa0abe16088f920060fa41e09715db7d,441,1760,
288ea91bb52d8cb28289f4db0d857356622e39e78f33f26bf6df2bbdd3810fad,259,1036,
9f292a9f4b059396dd6240925a7d999478efc9c578e53e2dc14397f40a70d5a2,299,1132,
a8f09e869e63571d0c989fbab86a13e1b5abbb359c05d88a68414e7b7614b6f2,285,1136,
4df49933980376afe56bcfdfc2ad9b045ed26825a9e6b26a8b9a92f222bf8e12,299,1132,
4d841d03ba8dec890356bb3d5fd9f8ad4f30ef0e589396e7f92baa2e6ccc4ad4,238,892,
a14376aaed155e41b4eb3a46ef1d6fda222f7b3ebb6e69d27afb2601dc880a6c,299,1136,
43d0ee1893b75b8ab9ae6d38e320656b046d577577aff13d7e210ff8e2a6bbb8,452,1616,
969ff1710715bd36fb4ab9117c46bb05f24e96ae03f39685f2ba2913dbac7476,373,1488,
a8fa3e2c641f84f0d19f289433bd348086b167f83924b892d1d81ae8c27fb08b,452,1620,
0e389ea0b8f8c1030a6b962166768979c9f827960c33d3e97eb3f4a9a7700f06,204,760,
3733a3ce668c18863252cf6baa3a1e6e6eaadb31768bb5a3b6093552d0b32a83,366,1132,50d949aaf11386f7f073ead1dbd7c39d9604e3c993738a8dcbbd7ea33a8862cf
011d65e7eb10e378e7370399cda7af0db648d90c30ca281687f0fbb01f196866,286,1136,e9729cc3da87c37f1a3cc11d8ad2b5c4e15dfc028dace8613e8a0e6e4cbc4d37
f178747e600e09145303dbf994f0d905b7b404a52e7753428359ef0c0af10f04,457,1788,
6238a832872993e0dd4467310a9961846eb0da02a328f37a0886b04995c354e5,292,1132,
30331b9553fc41cfd25a414dab84997e4eb3c4641ad97fcae396b72ed61d21f2,452,1612,
2f1b8da0deba8d742f24c721e44248a9f0a5420e196e43fe35174a3fface6817,452,1616,
